id,prompt,canonical,total,without_comments,threshold
0,12,9,21,10,4
1,12,18,30,17,9
2,12,2,14,3,1
3,13,9,22,9,4
4,13,3,16,5,1
5,11,13,24,11,6
6,12,14,26,14,7
7,11,2,13,4,1
8,12,8,20,9,4
9,10,13,23,12,6
10,20,10,30,10,5
11,10,8,18,9,4
12,14,8,22,9,4
13,10,4,14,5,2
14,9,6,15,7,3
15,10,2,12,3,1
16,10,2,12,3,1
17,17,3,20,5,1
18,12,8,20,7,4
19,11,14,25,16,7
20,12,17,29,17,8
21,10,4,14,6,2
22,11,2,13,4,1
23,10,2,12,3,1
24,8,4,12,5,2
25,15,14,29,15,7
26,10,4,14,6,2
27,8,2,10,3,1
28,11,2,13,4,1
29,11,2,13,4,1
30,10,2,12,3,1
31,20,7,27,8,3
32,24,12,36,16,6
33,12,4,16,5,2
34,8,2,10,3,1
35,10,6,16,7,3
36,12,10,22,11,5
37,12,10,22,11,5
38,18,2,20,7,1
39,17,17,34,17,8
40,20,7,27,8,3
41,15,2,17,3,1
42,10,2,12,3,1
43,19,6,25,7,3
44,14,6,20,7,3
45,8,2,10,3,1
46,18,10,28,9,5
47,10,6,16,7,3
48,15,5,20,6,2
49,16,5,21,6,2
50,14,2,16,5,1
51,19,2,21,3,1
52,10,5,15,6,2
53,10,2,12,3,1
54,19,2,21,3,1
55,12,6,18,7,3
56,16,10,26,11,5
57,12,4,16,5,2
58,11,7,18,8,3
59,10,13,23,14,6
60,16,2,18,3,1
61,16,10,26,11,5
62,12,2,14,3,1
63,17,8,25,9,4
64,18,6,24,8,3
65,11,6,17,7,3
66,15,3,18,4,1
67,15,6,21,7,3
68,36,5,41,6,2
69,13,11,24,10,5
70,13,7,20,8,3
71,13,7,20,8,3
72,20,11,31,11,5
73,13,6,19,7,3
74,16,13,29,12,6
75,10,15,25,15,7
76,14,7,21,8,3
77,15,3,18,4,1
78,20,7,27,8,3
79,14,2,16,3,1
80,14,9,23,8,4
81,27,32,59,31,16
82,11,8,19,9,4
83,7,3,10,4,1
84,16,2,18,3,1
85,9,2,11,3,1
86,15,2,17,3,1
87,22,3,25,4,1
88,17,2,19,3,1
89,13,9,22,10,4
90,13,3,16,4,1
91,14,4,18,5,2
92,20,7,27,7,3
93,16,5,21,6,2
94,15,16,31,15,8
95,14,23,37,23,11
96,13,12,25,12,6
97,12,2,14,3,1
98,11,6,17,7,3
99,20,21,41,17,10
100,16,2,18,3,1
101,11,14,25,12,7
102,11,8,19,9,4
103,13,7,20,8,3
104,14,6,20,7,3
105,24,20,44,21,10
106,11,12,23,13,6
107,25,13,38,12,6
108,12,8,20,9,4
109,29,13,42,13,6
110,15,13,28,13,6
111,15,14,29,13,7
112,13,3,16,4,1
113,14,6,20,7,3
114,10,12,22,13,6
115,37,2,39,4,1
116,13,2,15,3,1
117,15,11,26,11,5
118,17,10,27,10,5
119,17,15,32,15,7
120,27,6,33,7,3
121,11,2,13,3,1
122,16,2,18,3,1
123,19,15,34,14,7
124,22,17,39,17,8
125,12,7,19,8,3
126,18,12,30,11,6
127,22,17,39,17,8
128,14,4,18,5,2
129,32,28,60,24,14
130,19,10,29,11,5
131,10,12,22,13,6
132,15,19,34,18,9
133,16,6,22,7,3
134,15,4,19,4,2
135,12,8,20,9,4
136,14,4,18,5,2
137,14,6,20,7,3
138,9,2,11,3,1
139,14,7,21,8,3
140,13,21,34,22,10
141,16,15,31,16,7
142,15,10,25,11,5
143,22,12,34,13,6
144,14,8,22,9,4
145,13,8,21,9,4
146,10,11,21,10,5
147,16,9,25,10,4
148,18,10,28,11,5
149,17,7,24,8,3
150,11,9,20,10,4
151,14,2,16,3,1
152,17,2,19,3,1
153,19,12,31,11,6
154,12,8,20,9,4
155,9,9,18,10,4
156,13,15,28,16,7
157,12,2,14,3,1
158,12,2,14,3,1
159,31,5,36,6,2
160,27,5,32,6,2
161,13,15,28,16,7
162,9,3,12,4,1
163,12,5,17,5,2
